fest	ثَاَبِتْ
ich	اَنْاَ
Kaffeepulver	بُنْ
Mädchen, Tochter	بِنْتْ
du (m)	اَنْتَ
du (f)	اَنْتِ
Possesivendung ich	ـي
zwischen	بَيْنَ
es geht so, so-so	بين بين
Rufpartikel	يَا
und	وَ
Sohn	اِبْنْ
Prophet	نَبِي
Feige	تِيْنْ
wo	اَيْنَ
Tür	بَاب
Krone	تَاج
Bruder	<div>اَج<br></div>
Schwester	اُخت
Handschrift	خَط
Glück	حَظ
unter, unten	تَحت
Dschinn	جِن
Bär	دُب
Grenze	حَد
Hase	اَرنَب
Krieg	حَرب
Rosine	زَبِيب
Löwe	أَسَد
wenn	اِذاَ
Erlaubnis	اِذن
Satellitenschüssel	دِش
Morgen	صَبَاح
Geduld	صَبَرْ
schlagen, formulieren, richtig machen, prägen	ضَرَبَ -&nbsp;يُضْرَب
Arzt	طَبِيب
Medizin	طَبْ
Polizist	ضَابِط
Enten	بَظ
Auge, Spion, Quelle, Neid	عَين
Dämon	بُعْبُعْ
Araber (Singular)	عَرَبْ
Arabisch, Araber (Pl.)	عَرَبي
nach (zeitl.)	بَعدَ
fern, weit	بَعِيد
stur	غَنِيد
Geheimnis	سِر
Geheimnisse	اَسرَار
rausgehen, verlassen	خَرَجَ
sich fühlen	شَعَرَ -&nbsp;يَشْعُر
<div>Thron</div>	عَرش
Pilger	حاج
Erde, Boden, Gebiet, Land	اَرض
Decke (zum zudecken)	غَطَاء
Westen	غَرب
Rabe	غُراب
an, auf, in	في
Pflicht	فَرض
lies!	اِقْرَأ
lesen	قَرَأَ
Schloss	قَصر
Vertrag	عَقد
Recht	حَق
schreiben	كَتَبَ -&nbsp;يَكْتُب
ich habe geschrieben	كَتَبْتُ
nein	لا
der, die, das, die	ال
für dich	لَك
wir	نَحْنُ
aber	لَكِن
Präfix: für	لِ
Suffix: du Possesiv (m)	ـُكَ
Suffix: du possesiv (f)	ـُكِ
Ramadan	رَمَضَان
großzügig	كَريم
gesegnet	مُبَارَك
blau	اَزْرَق
weiß	أَبْيَضْ
öffnen	فَتَحَ - يَفْتَح
was / nicht (Perfekt)	ما
hören	سَمِعَ
kennen	عَرِفَ
spielen	لَعِبَ -&nbsp;يَلْعَب
bezahlen	دَفَعَ
weggehen, verlassen	خَرَجَ - يَخرُج
Rechnung, Gebühr	حِساب
Wissenschaften	عُلُوُم
Geld	نُقُوُد
Junge, Sohn	وَلَد
Heimat	وَطَن
legen, stellen	وَضَعَ
Gott, wunder-wunderschön	اللّه
antworten	رَدَّ
ziehen	شَدَّ - يَشُدّ
lieben	أَحَبَّ
unterrichten, lehren	عَلَّمَ -&nbsp;يُعَلِّم
drauf, auf	عَلَى
das, dieser (m)	هَذَا
Was ist das?	ما هذا؟
das, diese (f)	هَذِهِ
wer	مَن
Wer ist das? (m)	من هذا؟
Wer ist das? (f)	من هذه؟
hinter	خَلْفَ
die Universität	الجَامِعَة
Lehrer	مُعَلَّم
Lehrerin	مُعَلِّمَة
Lehrer (wie die Schule)	مُدَرَّس
Lehrerin (wie die Schule)	مُدَرَّسَة
Baum	شَجَرَة
hinter mir	خَلفي
unter mir	تَحتي
vor	اَمام
Tisch	طاوِلة
der Mann	الرّجُل
das Auto	السَّيَّارة
er	هُوَ
sie	هِيَ
was ist los?	ما هذا؟
Stift	قَلَم
Hemd	قَميص
Papier	وَرَق
Traube	عِنَب
süß	حِلوَ
essen	أكَلَ
ich esse	آكُلُ
was	ماذا
Aprikose	مَشمَش
ja	نَعَم
Fragepartikel (entweder oder)	هَل / أ
danke	شُكراً
meine Mutter	أُمّي
Haus	بَيت
Kamm	مُشط
Sonne	شَمس
Buch	كِتَاب
Bett	سَرِير
Zaun, Mauer	سُور
Seil	خَبل
Schreibtisch, Büro	مَكتَب
Elefant	فِيل
Schiff	سَفينَة
Nase	أَنف
Brief, Briefumschlag, Umstand	ظَرف
Schere	مِقَصّ
Kamel	جَمَل
Fuß, Schritt	قَدَم
sagen, sprechen/er hat gesagt	قالَ
rauchen	دَخَنَ
wiederholen	كَرَّرَ - يكرر
entscheiden	قَرَّرَ
Hund	كَلب
Herz	قَلب
groß, alt	كَبير
eintreten, betreten, annehmen	دَخَلَ
ausgehen, weggehen	خَرَجَ
fasten	صامَ
aufstehen	قامَ
zurückkommen	رَجَعَ - يَرجِع
anwesend sein, kommen, besuchen	حَضَرَ
Partizip I von anwesend sein: ich bin bereit, in Ordnung, ich komme	حاضِر
ich liebe	أُحِبُّ
Name	اِسم
Sünde	اِثم
richtig	صَح
falsch	خَطَأ
Deutschland	ألمانيا
Welpe	جَرو
Rose	وَردَة
Fuß/Schritt	قَدَم
Umschlag/Umstände	ظَرف
Eimer	دَلو
Stier, Ochse, Bulle	ثَور
Kiste	صُندوق
Schlüssel	مِفتاح
Minarett	مَنارَة
Mond	قَمَر
Brille	نَظَّارَة
Dattelpalme	نَخلَة
Hahn	ديك
Becken, Waschbecken	حَوض
er lacht	يَضحَك
er rennt	يَجري
er sitzt	يَجلِس
er trinkt	يَشرَب
er isst/frisst	يَأَكُل
er steigt ein/steigt auf/reitet	يَركَب
er tritt ein/geht rein	يَدخُل
er geht raus/verlässt	يَخرُج
Fisch (Singular)	سَمَكَة
Fisch (Plural)	سَمَك
